name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Abakanowicz Magdalena,F,born 1930,1930,1911,Polska,Unknown,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
Abbey Edwin Austin,M,1852–1911,1852,1911,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
Abbott Berenice,F,1898–1991,1898,1991,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
Abbott Lemuel Francis,M,1760–1803,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
Abrahams Ivor,M,born 1935,1935,1993,"Wigan, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ivor-abrahams-622
Absalon,M,1964–1993,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
Abts Tomma,F,born 1967,1967,2014,"Kiel, Deutschland",Unknown,http://www.tate.org.uk/art/artists/tomma-abts-9550
Acconci Vito,M,born 1940,1940,2014,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/vito-acconci-623
Ackling Roger,M,1947–2014,1947,2014,"Isleworth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/roger-ackling-624
Ackroyd Norman,M,born 1938,1938,1792,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-ackroyd-625
Adam Robert,M,1728–1792,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
Adams Harry William,M,1868–1947,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
Adams Norman,M,1927–2005,1927,2005,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-adams-627
Adams Robert,M,1917–1984,1917,1984,"Northampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-adams-628
Adeney Bernard,M,1878–1966,1878,1966,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bernard-adeney-629
Adler Jankel,M,1895–1949,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
Adshead Mary,F,1904–1995,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
Adzak Roy,M,1927–1987,1927,1987,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
Afro,M,1912–1976,1912,1976,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
Agar Eileen,F,1899–1991,1899,1991,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
